species,IUCN,proba
Rhinecanthus-lunula,NThr,88.0
Rhinecanthus-rectangulus,NThr,95.5
Rhinecanthus-verrucosus,NThr,99.5
Rhycherus-filamentosus,NThr,80.5
Rhynchostracion-nasus,NThr,100.0
Samariscus-triocellatus,NThr,100.0
Sargocentron-inaequalis,NThr,100.0
Sargocentron-macrosquamis,NThr,100.0
Sargocentron-seychellense,NThr,93.5
Scaevius-milii,NThr,85.0
Scarus-coelestinus,NThr,94.0
Schismorhynchus-labialis,NThr,96.0
Schultzidia-johnstonensis,NThr,100.0
Schultzidia-retropinnis,NThr,99.0
Scolecenchelys-breviceps,NaN,51.5
Scolecenchelys-gymnota,NThr,100.0
Scolecenchelys-laticaudata,NThr,100.0
Scolecenchelys-macroptera,NThr,100.0
Scorpaenodes-scaber,NThr,100.0
Scorpaenopsis-cacopsis,NaN,62.5
Scorpaenopsis-furneauxi,NaN,77.0
Scorpis-lineolata,NThr,87.0
Sebastes-constellatus,Thr,92.0
Sebastes-emphaeus,NaN,54.5
Sebastes-flavidus,Thr,97.0
Sebastes-hopkinsi,NaN,77.5
Sebastes-miniatus,Thr,96.5
Sebastes-mystinus,Thr,81.5
Sebastes-nebulosus,Thr,96.5
Sebastes-nigrocinctus,Thr,98.5
Sebastes-ruberrimus,Thr,96.5
Sebastes-serranoides,Thr,88.5
Semicossyphus-darwini,NaN,65.0
Siganus-unimaculatus,NThr,95.5
Signigobius-biocellatus,NThr,100.0
Siokunichthys-breviceps,NThr,97.5
Siphamia-argentea,NaN,80.0
Siphamia-elongata,NaN,72.0
Siphamia-fistulosa,NThr,93.0
Siphamia-fuscolineata,NThr,93.5
Siphamia-jebbi,NThr,98.0
Siphamia-majimai,NThr,96.5
Siphamia-mossambica,NThr,92.0
Siphamia-tubifer,NThr,98.5
Sparisoma-axillare,NThr,87.0
Sparisoma-frondosum,NThr,92.0
Sphaeramia-nematoptera,NThr,99.5
Sphaeramia-orbicularis,NThr,98.0
Sphyraena-acutipinnis,NThr,93.0
Sphyraena-flavicauda,NThr,99.5
Sphyraena-forsteri,NThr,97.5
Sphyraena-helleri,NThr,84.5
Sphyraena-jello,NaN,75.0
Sphyraena-obtusata,NThr,99.5
Sphyraena-picudilla,NThr,84.0
Sphyraena-putnamae,NThr,96.0
Sphyraena-qenie,NaN,73.5
Stalix-dicra,NaN,55.5
Starksia-leucovitta,NThr,100.0
Starksia-sella,Thr,92.0
Starksia-variabilis,NaN,71.5
Steeneichthys-plesiopsus,NThr,98.5
Stegastes-albifasciatus,NThr,96.5
Stegastes-altus,NThr,84.5
Stegastes-fasciolatus,NThr,100.0
Stegastes-insularis,NaN,54.5
Stegastes-limbatus,NaN,66.5
Stegastes-nigricans,NThr,96.0
Stegastes-obreptus,NThr,95.5
Stegastes-pelicieri,NaN,50.0
Stegastes-rocasensis,Thr,95.5
Stenatherina-panatela,NThr,96.0
Stonogobiops-xanthorhinica,NThr,100.0
Strongylura-incisa,NaN,78.5
Strongylura-leiura,NaN,69.5
Strophidon-sathete,Thr,91.5
Sueviota-aprica,NThr,96.0
Sueviota-atrinasa,NThr,92.0
Sufflamen-albicaudatum,NaN,60.5
Sufflamen-bursa,NThr,98.0
Sufflamen-chrysopterum,NThr,94.5
Synanceia-alula,NThr,94.0
Synchiropus-circularis,NaN,78.5
Synchiropus-laddi,NThr,92.0
Synchiropus-morrisoni,NThr,100.0
Synchiropus-moyeri,NThr,95.5
Synchiropus-picturatus,NThr,98.0
Synchiropus-postulus,NaN,69.5
Synchiropus-rosulentus,NaN,75.5
Synchiropus-stellatus,NThr,100.0
Syngnathus-louisianae,NaN,58.5
Tetrosomus-concatenatus,NThr,100.0
Thalassoma-ascensionis,NaN,56.0
Thamnaconus-analis,NaN,62.5
Torpedo-fuscomaculata,Thr,83.0
Torpedo-marmorata,Thr,96.5
Trachichthys-australis,NaN,64.0
Trachinops-brauni,NaN,54.5
Tragulichthys-jaculiferus,NaN,72.0
Trimmatom-eviotops,NThr,100.0
Trimmatom-macropodus,NThr,90.5
Triodon-macropterus,NThr,89.0
Tryssogobius-colini,NThr,97.5
Upeneus-japonicus,NThr,100.0
Uranoscopus-bicinctus,NThr,99.0
Uranoscopus-sulphureus,NThr,88.0
Uropterygius-polystictus,Thr,99.0
Valenciennea-alleni,NThr,86.5
Valenciennea-decora,NThr,86.0
Valenciennea-immaculata,NThr,99.5
Valenciennea-longipinnis,NThr,98.0
Valenciennea-randalli,NThr,98.0
Valenciennea-strigata,NThr,100.0
Vincentia-punctata,NaN,78.5
Xanthichthys-auromarginatus,NThr,93.0
Xanthichthys-caeruleolineatus,NThr,82.0
Xanthichthys-lineopunctatus,NThr,83.0
Zabidius-novemaculeatus,NaN,66.5
Zapteryx-xyster,Thr,91.0
Zebrasoma-gemmatum,NThr,88.5
Zebrasoma-rostratum,NThr,95.5
Zebrias-zebra,NThr,94.5
Zoramia-fragilis,NThr,94.0
Zoramia-gilberti,NThr,98.5
Zoramia-leptacantha,NThr,99.5
Zoramia-perlita,NThr,97.0
Abalistes-filamentosus,NaN,65.5
Acanthemblemaria-harpeza,Thr,85.0
Acanthemblemaria-paula,Thr,84.5
Acanthistius-paxtoni,NaN,56.5
Acanthoclinus-marilynae,NaN,60.5
Acanthoclinus-matti,NaN,57.0
Acanthoclinus-rua,NaN,59.5
Acanthoplesiops-naka,NaN,65.5
Acanthurus-randalli,NaN,60.0
Acarobythites-larsonae,NaN,70.0
Agonomalus-mozinoi,Thr,96.0
Aioliops-novaeguineae,Thr,100.0
Alabes-elongata,NaN,67.5
Albula-argentea,Thr,89.0
Alticus-saliens,NThr,86.5
Amblyeleotris-biguttata,NaN,58.5
Amblyeleotris-callopareia,NaN,53.0
Amblyeleotris-ellipse,NaN,79.0
Amblyeleotris-latifasciata,NThr,83.5
Amblyeleotris-marquesas,NaN,74.0
Amblyeleotris-masuii,NThr,82.5
Amblyeleotris-neglecta,NaN,56.5
Amblyeleotris-neumanni,NaN,58.5
Amblyeleotris-rhyax,NThr,87.5
Amblyeleotris-stenotaeniata,NaN,63.0
Amblyglyphidodon-silolona,Thr,99.0
Amblygobius-stethophthalmus,NThr,90.0
Amioides-polyacanthus,NaN,58.0
Ammodytoides-idai,Thr,88.5
Amphiprion-barberi,NaN,68.5
Amphiprion-pacificus,NaN,60.0
Anarchias-euryurus,NThr,88.5
Antennarius-hispidus,NThr,82.5
Antennatus-coccineus,NThr,100.0
Antennatus-dorehensis,NThr,81.0
Antennatus-duescus,NThr,89.5
Antennatus-flagellatus,Thr,88.5
Antennatus-rosaceus,NThr,99.5
Apogon-kautamea,Thr,90.0
Apogon-marquesensis,Thr,93.5
Apogon-rubrifuscus,Thr,87.0
Apogon-seminigracaudus,NaN,60.5
Apogon-talboti,NThr,81.0
Apogonichthyoides-atripes,NThr,89.0
Apogonichthyoides-brevicaudatus,NaN,59.5
Apogonichthyoides-melas,NaN,71.5
Apogonichthyoides-sialis,NThr,93.0
Apogonichthyoides-taeniatus,NThr,100.0
Apogonichthyoides-timorensis,NThr,100.0
Apogonichthyoides-umbratilis,NaN,68.5
Apterichtus-australis,NaN,58.0
Apterichtus-keramanus,NaN,75.0
Apterygocampus-epinnulatus,NThr,90.5
Artedius-notospilotus,Thr,96.0
Astrabe-fasciata,NaN,68.0
Astrabe-flavimaculata,NaN,55.5
Astrabe-lactisella,NaN,57.0
Aulohalaelurus-kanakorum,Thr,86.5
Balistoides-conspicillum,NThr,100.0
Batrachomoeus-trispinosus,NThr,83.5
Beaglichthys-bleekeri,NaN,75.0
Beaglichthys-larsonae,NaN,66.5
Bhanotia-pauciradiata,NaN,59.5
Bidenichthys-consobrinus,Thr,99.5
Bodianus-neopercularis,NaN,77.0
Bodianus-paraleucosticticus,NThr,90.5
Bodianus-rubrisos,NThr,91.5
Bodianus-sepiacaudus,NThr,100.0
Bodianus-speciosus,NaN,66.0
Brachysomophis-henshawi,NaN,65.0
Brachysomophis-porphyreus,NaN,72.0
Brachysomophis-umbonis,NaN,60.0
Branchiostegus-gloerfelti,NaN,65.0
Bryaninops-nexus,NThr,99.5
Cabillus-atripelvicus,NThr,86.0
Cabillus-caudimacula,NThr,81.0
Callanthias-japonicus,NaN,73.5
Callionymus-flavus,Thr,91.5
Callogobius-dori,NaN,76.0
Calloplesiops-argus,NaN,52.5
Calumia-papuensis,NaN,72.0
Campichthys-tricarinatus,NaN,59.0
Cantherhines-cerinus,NaN,78.0
Cantherhines-longicaudus,NThr,81.0
Canthigaster-flavoreticulata,Thr,99.0
Carapus-sluiteri,Thr,92.5
Centriscus-cristatus,NThr,81.0
Chaenopsis-stephensi,Thr,99.5
Chaetodon-andamanensis,NaN,74.5
Chaetodontoplus-caeruleopunctatus,NThr,96.0
Cheilodactylus-ephippium,NaN,67.0
Cheilodactylus-francisi,NaN,66.5
Cheilodactylus-gibbosus,Thr,89.0
Cheilodactylus-plessisi,Thr,90.0
Cheilodactylus-spectabilis,Thr,100.0
Cheilodactylus-vestitus,NaN,60.5
Cheilodipterus-alleni,NaN,72.5
Cheilodipterus-nigrotaeniatus,NaN,70.5
Cheilodipterus-parazonatus,NThr,82.5
Chelon-subviridis,NThr,87.5
Chlidichthys-cacatuoides,NThr,98.0
Chlidichthys-randalli,NThr,89.5
Choeroichthys-latispinosus,NaN,62.0
Chromis-athena,NThr,100.0
Chromis-brevirostris,NThr,100.0
Chromis-monochroma,NThr,100.0
Chromis-onumai,NThr,97.5
Chromis-ovatiformes,NThr,100.0
Chromis-pamae,NThr,100.0
Chromis-pura,NThr,100.0
Chromis-trialpha,NThr,100.0
Chromis-xouthos,NThr,100.0
Chrysiptera-albata,NThr,90.5
Chrysiptera-arnazae,NThr,100.0
Chrysiptera-bleekeri,NThr,99.0
Chrysiptera-cymatilis,NThr,100.0
Chrysiptera-giti,NThr,99.5
Chrysiptera-kuiteri,NThr,100.0
Chrysiptera-niger,NThr,100.0
Chrysiptera-pricei,NThr,100.0
Chrysiptera-rapanui,NThr,100.0
Chrysiptera-springeri,NThr,100.0
Cirrhilabrus-brunneus,NaN,50.0
Cirrhilabrus-filamentosus,NThr,97.0
Cirrhilabrus-joanallenae,NThr,84.0
Cirrhilabrus-naokoae,NaN,79.0
Cirrhilabrus-rhomboidalis,NThr,93.5
Cirrhilabrus-rubrisquamis,NaN,77.5
Cirrhilabrus-tonozukai,NThr,94.0
Cirrhitichthys-randalli,Thr,100.0
Clidoderma-asperrimum,NaN,54.0
Cochleoceps-bicolor,NaN,70.0
Cocotropus-microps,Thr,100.0
Congrogadus-winterbottomi,NThr,91.5
Cryptocentrus-caeruleopunctatus,NaN,80.0
Cryptocentrus-cebuanus,Thr,95.0
Cryptocentrus-cyanotaenia,NaN,59.5
Cryptocentrus-shigensis,Thr,98.0
Crystallodytes-pauciradiatus,Thr,93.0
Ctenogobiops-tongaensis,Thr,99.5
Cyclichthys-spilostylus,NThr,94.5
Cypho-zaps,NThr,100.0
Dactylosurculus-gomoni,Thr,91.5
Dascyllus-strasburgi,NaN,64.5
Derilissus-nanus,Thr,100.0
Dermatopsis-greenfieldi,Thr,99.0
Dermatopsis-hoesei,Thr,96.5
Dermatopsis-joergennielseni,NaN,75.0
Diagramma-melanacrum,NaN,76.5
Diancistrus-alatus,Thr,99.5
Diancistrus-atollorum,NaN,78.5
Diancistrus-eremitus,Thr,82.5
Diancistrus-jackrandalli,Thr,96.0
Diancistrus-jeffjohnsoni,Thr,94.5
Diancistrus-katrineae,NaN,66.0
Diancistrus-leisi,NaN,72.5
Diancistrus-manciporus,Thr,99.5
Diancistrus-mcgroutheri,NaN,62.5
Diancistrus-niger,Thr,98.5
Diancistrus-robustus,Thr,99.5
Diancistrus-springeri,Thr,90.0
Dipulus-hutchinsi,NaN,76.5
Dischistodus-perspicillatus,NThr,94.5
Discotrema-zonatum,Thr,99.5
Doryrhamphus-aurolineatus,NThr,98.0
Dunckerocampus-chapmani,NThr,93.5
Echinogobius-hayashii,NaN,53.5
Echinophryne-crassispina,Thr,88.5
Echiodon-coheni,NaN,51.5
Elacatinus-phthirophagus,Thr,95.0
Elacatinus-pridisi,Thr,96.5
Ematops-randalli,NaN,63.5
Entosphenus-tridentatus,Thr,98.0
Eocallionymus-papilio,Thr,93.5
Epigonus-cavaticus,Thr,96.0
Eschmeyer-nexus,Thr,92.5
Esselenichthys-laurae,NaN,77.5
Eusurculus-pistillum,NaN,67.5
Eviota-ancora,NaN,63.5
Eviota-asymbasia,Thr,90.5
Eviota-dorsopurpurea,Thr,89.0
Eviota-hoesei,NaN,61.5
Eviota-indica,NaN,59.0
Eviota-karaspila,Thr,89.5
Eviota-masudai,NaN,80.0
Eviota-natalis,Thr,96.5
Eviota-raja,NaN,80.0
Eviota-randalli,NaN,75.0
Eviota-readerae,Thr,96.0
Eviota-rubriguttata,NaN,67.5
Eviota-rubrisparsa,NaN,78.0
Eviota-spilota,NThr,86.5
Eviota-toshiyuki,NaN,77.0
Evips-percinctus,Thr,100.0
Feia-nota,Thr,91.5
Festucalex-kulbickii,NThr,91.5
Festucalex-prolixus,NThr,98.0
Festucalex-wassi,NThr,97.0
Fibramia-amboinensis,NThr,92.0
Fibramia-thermalis,NThr,99.5
Foa-albimaculosa,NaN,54.0
Foa-hyalina,NaN,63.5
Foa-leisi,Thr,86.0
Foa-madagascariensis,Thr,87.0
Foa-nivosa,NaN,75.0
Fowleria-variegata,NThr,97.5
Fowlerichthys-scriptissimus,NThr,88.0
Fusigobius-longispinus,NThr,100.0
Girella-leonina,NaN,69.5
Girella-tephraeops,Thr,91.5
Girella-tricuspidata,NaN,64.0
Glenoglossa-wassi,Thr,100.0
Gnatholepis-argus,Thr,81.0
Gnatholepis-pascuensis,Thr,100.0
Gnatholepis-yoshinoi,NaN,52.0
Gobiesox-eugrammus,NThr,81.5
Gobiesox-rhessodon,NaN,72.5
Gobiodon-heterospilos,NThr,100.0
Gobiopsis-atrata,Thr,96.5
Gobiopsis-canalis,NaN,59.0
Gobiopsis-namnas,NaN,66.0
Gobiosoma-parri,Thr,100.0
Grahamichthys-radiata,NaN,78.5
Grallenia-arenicola,NThr,82.5
Grallenia-lipi,NaN,65.0
Grammonus-opisthodon,Thr,88.5
Grammonus-thielei,Thr,85.5
Grammonus-waikiki,Thr,100.0
Grammonus-yunokawai,Thr,93.0
Gymnapogon-melanogaster,NaN,61.5
Gymnapogon-urospilotus,NThr,98.0
Gymnocranius-frenatus,NThr,100.0
Gymnothorax-annulatus,NaN,79.5
Gymnothorax-atolli,NaN,80.0
Gymnothorax-bacalladoi,NaN,68.5
Gymnothorax-davidsmithi,Thr,80.5
Gymnothorax-randalli,NaN,58.5
Halichoeres-erdmanni,NThr,96.5
Halichoeres-hilomeni,Thr,100.0
Halichoeres-melas,Thr,100.0
Halichoeres-rubricephalus,NaN,61.0
Halichoeres-sazimai,NaN,51.5
Halidesmus-socotraensis,Thr,97.0
Haliophis-diademus,Thr,91.0
Halophryne-hutchinsi,NaN,77.5
Hapalogenys-merguiensis,Thr,93.0
Hapalogenys-sennin,Thr,100.0
Hazeus-maculipinna,Thr,97.0
Helcogramma-larvata,NaN,69.0
Helcogramma-solorensis,NaN,60.5
Hemerorhinus-heyningi,Thr,88.5
Hemigymnus-sexfasciatus,NaN,67.5
Hemilepidotus-spinosus,Thr,100.0
Hetereleotris-exilis,NaN,65.5
Heterodontus-omanensis,Thr,100.0
Hippocampus-bargibanti,NaN,77.0
Hippocampus-biocellatus,Thr,87.5
Hippocampus-curvicuspis,Thr,92.5
Hippocampus-debelius,Thr,93.0
Hippocampus-pusillus,Thr,94.5
Hippocampus-satomiae,Thr,83.0
Hippocampus-subelongatus,Thr,98.5
Hippocampus-tyro,Thr,94.0
Hippocampus-zebra,Thr,93.0
Histiophryne-psychedelica,NaN,53.5
Hoplolatilus-chlupatyi,NThr,99.5
Hoplolatilus-luteus,NThr,98.0
Hoplolatilus-purpureus,NThr,99.5
Hoplolatilus-randalli,NThr,93.5
Hypoplectrodes-cardinalis,Thr,82.5
Hypoplectrodes-huntii,Thr,97.5
Hypoplectrodes-wilsoni,Thr,95.5
Hyporthodus-septemfasciatus,Thr,97.5
Idiotropiscis-larsonae,Thr,98.0
Iniistius-trivittatus,NaN,53.0
Iso-hawaiiensis,NaN,73.5
Istigobius-hoshinonis,NaN,60.5
Jaydia-argyrogaster,NThr,93.5
Jaydia-carinatus,NaN,79.5
Jaydia-catalai,Thr,85.5
Jaydia-ellioti,NThr,90.0
Jaydia-lineata,NaN,74.5
Jaydia-melanopus,NaN,80.0
Jaydia-novaeguineae,NThr,100.0
Jaydia-photogaster,NaN,60.0
Jaydia-quartus,Thr,86.5
Jaydia-queketti,NaN,65.0
Jaydia-smithi,NThr,98.0
Jaydia-truncata,NThr,99.5
Kelloggella-cardinalis,NaN,55.5
Kochichthys-flavofasciatus,NaN,71.0
Kyphosus-ocyurus,NThr,86.0
Labracinus-atrofasciatus,Thr,91.5
Latropiscis-purpurissatus,Thr,99.0
Leiuranus-versicolor,NaN,53.0
Lepadichthys-springeri,Thr,91.0
Lepidamia-kalosoma,NThr,89.5
Lepidamia-multitaeniata,NaN,79.5
Lepidamia-natalensis,NaN,57.0
Lepidamia-omanensis,Thr,94.5
Limnichthys-polyactis,Thr,82.0
Liocranium-pleurostigma,NaN,67.0
Liopropoma-incomptum,Thr,90.5
Lobulogobius-morrigu,NaN,60.0
Lophiocharon-lithinostomus,NaN,65.0
Lubbockichthys-tanakai,NaN,63.0
Lubricogobius-dinah,NThr,86.5
Lutjanus-bitaeniatus,NThr,96.0
Luzonichthys-taeniatus,NaN,78.0
Lythrypnus-alphigena,Thr,100.0
Lythrypnus-solanensis,Thr,100.0
Manonichthys-alleni,NaN,77.5
Manonichthys-paranox,NaN,56.5
Manonichthys-polynemus,NaN,53.5
Manonichthys-splendens,NaN,70.5
Manonichthys-winterbottomi,Thr,92.5
Maroubra-yasudai,Thr,90.5
Mascarenichthys-heemstrai,Thr,88.5
Maxillicosta-meridianus,NaN,79.0
Meiacanthus-limbatus,Thr,100.0
Meiacanthus-reticulatus,NaN,75.0
Microgadus-proximus,Thr,92.5
Micrognathus-brevicorpus,Thr,87.5
Micrognathus-pygmaeus,NaN,68.0
Minous-usachevi,NaN,78.5
Minyichthys-brachyrhinus,NaN,59.5
Minyichthys-sentus,NaN,62.5
Minysicya-caudimaculata,NThr,90.0
Moringua-hawaiiensis,Thr,84.5
Muraenichthys-philippinensis,Thr,94.0
Mycteroperca-cidi,Thr,94.5
Myersina-adonis,NaN,72.5
Myersina-crocata,NThr,97.0
Myersina-lachneri,NaN,60.5
Myersina-nigrivirgata,NThr,100.0
Myripristis-astakhovi,Thr,96.0
Myripristis-formosa,NThr,80.5
Myripristis-robusta,NThr,98.0
Myxodagnus-belone,NaN,68.5
Nannocampus-weberi,NaN,67.5
Neamia-articycla,NaN,62.5
Neamia-notula,Thr,88.0
Neamia-octospina,NThr,100.0
Nectamia-bandanensis,NThr,100.0
Nectamia-ignitops,NaN,53.0
Nectamia-viria,NThr,96.5
Neenchelys-buitendijki,Thr,95.0
Neoaploactis-tridorsalis,NThr,88.0
Neoglyphidodon-bonang,NThr,82.5
Neomyxus-leuciscus,NThr,94.5
Neosynchiropus-ijimae,NaN,54.0
Nesogobius-greeni,NaN,50.5
Niphon-spinosus,Thr,87.5
Novaculops-koteamea,Thr,96.5
Nudiantennarius-subteres,NaN,74.0
Ocosia-spinosa,Thr,81.5
Ocosia-vespa,NaN,66.0
Odontopyxis-trispinosa,NaN,57.0
Ogilbyina-novaehollandiae,NaN,56.0
Ophichthus-polyophthalmus,NaN,53.0
Ophidion-saldanhai,Thr,91.5
Opistognathus-elizabethensis,NaN,61.0
Oplegnathus-peaolopesi,Thr,94.0
Orectolobus-japonicus,Thr,99.5
Ostorhinchus-angustatus,NThr,98.5
Ostorhinchus-apogonoides,NThr,100.0
Ostorhinchus-aureus,NThr,100.0
Ostorhinchus-brevispinis,NaN,64.5
Ostorhinchus-bryx,NThr,97.5
Ostorhinchus-capricornis,NThr,91.0
Ostorhinchus-cavitensis,NThr,98.5
Ostorhinchus-cheni,NThr,89.5
Ostorhinchus-chrysopomus,NThr,99.0
Ostorhinchus-chrysotaenia,NThr,99.0
Ostorhinchus-cookii,NThr,100.0
Ostorhinchus-cyanosoma,NThr,100.0
Ostorhinchus-dispar,NThr,99.0
Ostorhinchus-diversus,NaN,52.5
Ostorhinchus-doederleini,NThr,93.5
Ostorhinchus-endekataenia,NThr,97.0
Ostorhinchus-fasciatus,NThr,96.0
Ostorhinchus-flavus,NaN,77.0
Ostorhinchus-franssedai,NThr,99.0
Ostorhinchus-fukuii,NaN,74.0
Ostorhinchus-griffini,NaN,50.5
Ostorhinchus-gularis,NThr,91.5
Ostorhinchus-hartzfeldii,NThr,99.5
Ostorhinchus-hoevenii,NThr,99.0
Ostorhinchus-holotaenia,NThr,100.0
Ostorhinchus-jenkinsi,NThr,97.0
Ostorhinchus-kiensis,NThr,94.5
Ostorhinchus-komodoensis,NaN,59.0
Ostorhinchus-leptofasciatus,NaN,62.5
Ostorhinchus-leslie,Thr,96.5
Ostorhinchus-limenus,NaN,57.0
Ostorhinchus-lineomaculatus,NaN,63.0
Ostorhinchus-luteus,NThr,85.0
Ostorhinchus-maculiferus,NaN,76.5
Ostorhinchus-melanoproctus,NThr,96.0
Ostorhinchus-microspilos,NaN,53.0
Ostorhinchus-moluccensis,NThr,96.0
Ostorhinchus-monospilus,NThr,94.0
Ostorhinchus-multilineatus,NThr,93.5
Ostorhinchus-nanus,NThr,98.5
Ostorhinchus-nigrocincta,NaN,66.5
Ostorhinchus-nigrofasciatus,NThr,100.0
Ostorhinchus-norfolcensis,NaN,66.5
Ostorhinchus-novemfasciatus,NThr,98.5
Ostorhinchus-ocellicaudus,NThr,99.0
Ostorhinchus-oxina,NaN,74.5
Ostorhinchus-oxygrammus,NaN,52.0
Ostorhinchus-pallidofasciatus,NaN,65.0
Ostorhinchus-parvulus,NThr,96.0
Ostorhinchus-pleuron,NThr,91.0
Ostorhinchus-properuptus,NThr,97.5
Ostorhinchus-pselion,NaN,60.5
Ostorhinchus-quinquestriatus,NaN,74.5
Ostorhinchus-regula,NaN,51.0
Ostorhinchus-relativus,NaN,52.0
Ostorhinchus-rueppellii,NThr,85.5
Ostorhinchus-schlegeli,NaN,79.5
Ostorhinchus-selas,NThr,97.5
Ostorhinchus-semilineatus,NThr,90.0
Ostorhinchus-septemstriatus,NThr,97.0
Ostorhinchus-sinus,Thr,98.0
Ostorhinchus-spilurus,NaN,53.0
Ostorhinchus-taeniophorus,NThr,100.0
Ostorhinchus-victoriae,NaN,58.5
Oxycercichthys-veliferus,NaN,73.5
Oxymetopon-compressus,NThr,100.0
Oxymetopon-cyanoctenosum,NThr,98.5
Paracentropogon-zonatus,NaN,79.0
Paracirrhites-bicolor,Thr,92.0
Paraclinus-ditrichus,Thr,99.0
Paraconger-macrops,Thr,99.5
Paradiancistrus-acutirostris,Thr,100.0
Paradiancistrus-lombokensis,Thr,100.0
Paragunnellichthys-springeri,Thr,93.5
Parapercis-basimaculata,NaN,51.0
Parapercis-colemani,NThr,100.0
Parapercis-compressa,NaN,56.0
Parapercis-diagonalis,NThr,93.0
Parapercis-diplospilus,NaN,68.5
Parapercis-flavolineata,NaN,70.0
Parapercis-lata,Thr,96.0
Parapercis-natator,NThr,88.0
Parapercis-queenslandica,NaN,53.5
Parapercis-rufa,NaN,72.0
Parapercis-vittafrons,Thr,85.5
Parapercis-xanthogramma,Thr,91.0
Paraplotosus-muelleri,NaN,53.0
Parapriacanthus-dispar,NThr,100.0
Paraxenisthmus-springeri,NaN,70.5
Parazanclistius-hutchinsi,NaN,58.5
Parioglossus-caeruleolineatus,NaN,52.0
Parioglossus-dotui,NThr,94.5
Parioglossus-senoui,NaN,61.0
Parioglossus-verticalis,Thr,100.0
Parma-bicolor,NaN,70.0
Parma-kermadecensis,NaN,68.0
Parupeneus-angulatus,NaN,59.0
Parupeneus-diagonalis,Thr,90.5
Parupeneus-fraserorum,NaN,68.0
Parupeneus-minys,NaN,53.0
Parupeneus-nansen,Thr,96.5
Parupeneus-seychellensis,Thr,97.5
Pascua-caudilinea,Thr,100.0
Pascua-sticta,Thr,100.0
Pectinochromis-lubbocki,NaN,53.0
Pempheris-adspersa,NaN,77.5
Phanerodon-atripes,Thr,100.0
Pholidochromis-marginatus,NaN,71.0
Pictichromis-aurifrons,NaN,50.0
Pictichromis-diadema,NThr,98.0
Pictichromis-dinar,NaN,73.5
Pictichromis-ephippiata,NThr,87.5
Pisodonophis-sangjuensis,Thr,87.5
Plagiogrammus-hopkinsii,NaN,70.0
Plagiotremus-iosodon,Thr,99.0
Platygillellus-smithi,NaN,79.5
Platygobiopsis-akihito,NaN,59.0
Plectorhinchus-macrospilus,NaN,70.5
Plectranthias-altipinnatus,NaN,50.5
Plectranthias-klausewitzi,NaN,55.5
Plectranthias-vexillarius,NaN,61.5
Plectroglyphidodon-flaviventris,NaN,57.5
Plectroglyphidodon-sagmarius,Thr,95.0
Plesiops-malalaxus,Thr,93.0
Pleurosicya-larsonae,Thr,95.0
Pleurosicya-spongicola,NThr,99.0
Pomacentrus-agassizii,NaN,61.5
Pomacentrus-albimaculus,NThr,87.5
Pomacentrus-armillatus,NaN,75.0
Pomacentrus-aurifrons,NThr,92.0
Pomacentrus-auriventris,NThr,100.0
Pomacentrus-bintanensis,Thr,84.0
Pomacentrus-bipunctatus,NaN,50.5
Pomacentrus-cheraphilus,NaN,52.0
Pomacentrus-colini,Thr,85.0
Pomacentrus-cuneatus,NThr,100.0
Pomacentrus-geminospilus,NaN,64.5
Pomacentrus-javanicus,NaN,67.5
Pomacentrus-komodoensis,Thr,93.0
Pomacentrus-limosus,Thr,91.0
Pomacentrus-microspilus,Thr,94.5
Pomacentrus-opisthostigma,NThr,96.0
Pomacentrus-polyspinus,Thr,91.5
Pomacentrus-proteus,Thr,91.5
Pomacentrus-saksonoi,NaN,55.5
Pomacentrus-spilotoceps,NaN,76.0
Pomacentrus-trichrourus,NThr,99.5
Pomacentrus-xanthosternus,NaN,77.5
Pomacentrus-yoshii,Thr,90.0
Pomachromis-exilis,NaN,77.5
Pomadasys-unimaculatus,NThr,98.0
Priacanthus-nasca,Thr,93.5
Priolepis-profunda,NThr,96.0
Priolepis-randalli,NThr,100.0
Pristiapogon-abrogramma,NThr,98.5
Pristiapogon-exostigma,NThr,96.5
Pristiapogon-kallopterus,NThr,100.0
Pristiapogon-taeniopterus,NThr,97.0
Pristicon-rhodopterus,NThr,97.5
Pristicon-rufus,NThr,90.0
Pristicon-trimaculatus,NThr,95.0
Pristotis-cyanostigma,Thr,84.0
Prognathodes-guyotensis,NThr,95.5
Pseudamia-nigra,NaN,74.0
Pseudamia-rubra,NaN,76.5
Pseudamia-tarri,NaN,79.5
Pseudamia-zonata,NThr,93.0
Pseudamiops-diaphanes,NaN,60.5
Pseudanthias-charleneae,NaN,73.5
Pseudanthias-hutomoi,NThr,100.0
Pseudanthias-leucozonus,NaN,57.0
Pseudanthias-sheni,NaN,58.5
Pseudanthias-xanthomaculatus,NaN,58.0
Pseudocheilinus-dispilus,NThr,90.5
Pseudochromis-alticaudex,NaN,62.0
Pseudochromis-andamanensis,NThr,96.5
Pseudochromis-aureolineatus,Thr,91.0
Pseudochromis-aurulentus,NaN,66.0
Pseudochromis-colei,NThr,83.0
Pseudochromis-erdmanni,NaN,60.0
Pseudochromis-kolythrus,NaN,76.5
Pseudochromis-lugubris,Thr,90.0
Pseudochromis-mooii,Thr,80.5
Pseudochromis-omanensis,Thr,97.5
Pseudochromis-perspicillatus,NThr,100.0
Pseudochromis-punctatus,NaN,61.5
Pseudochromis-springeri,NThr,93.0
